parameter,bin_index,bin_left,bin_right,bin_center,exp_normalized_loglikelihood
param_2,95,0.665,0.6719999999999999,0.6685,-26431754.71891728
param_2,96,0.6719999999999999,0.6789999999999999,0.6755,-253663.5536273966
param_2,97,0.6789999999999999,0.6859999999999999,0.6824999999999999,0.0
param_2,98,0.6859999999999999,0.693,0.6895,0.0
param_2,99,0.693,0.7,0.6964999999999999,0.0
param_3,0,0.0,0.006999999999999999,0.0034999999999999996,-300749129818.6026
param_3,1,0.006999999999999999,0.014,0.010499999999999999,-1030417733.90276
param_3,2,0.014,0.021,0.0175,-818745555.424525
param_3,3,0.021,0.028,0.0245,-5410154833.893701
param_3,4,0.028,0.035,0.0315,-5321563119.587683
param_3,5,0.035,0.042,0.038500000000000006,-2795614370.992577
param_3,6,0.042,0.04899999999999999,0.0455,-2656085644.461155
param_3,7,0.04899999999999999,0.05599999999999999,0.05249999999999999,-3193095646.461786
param_3,8,0.05599999999999999,0.063,0.0595,-8427787274.261489
param_3,9,0.063,0.07,0.0665,-6675700288.765293
param_3,10,0.07,0.077,0.07350000000000001,-4084810716.405661
param_3,11,0.077,0.08399999999999999,0.08049999999999999,-1983021845.350713
param_3,12,0.08399999999999999,0.091,0.0875,-3114367236.727882
param_3,13,0.091,0.09799999999999999,0.0945,-3691131975.472817
param_3,14,0.09799999999999999,0.105,0.10149999999999999,-4392347097.683443
param_3,15,0.105,0.112,0.1085,-2589067722.075687
param_3,16,0.112,0.119,0.11549999999999999,-2104258842.446363
param_3,17,0.119,0.126,0.1225,-4275620560.06698
param_3,18,0.126,0.133,0.1295,-2936649348.880831
param_3,19,0.133,0.14,0.1365,-7097611355.463435
param_3,20,0.14,0.147,0.14350000000000002,-5633242111.639058
param_3,21,0.147,0.154,0.1505,-7827418749.229698
param_3,22,0.154,0.161,0.1575,-2988481422.826028
param_3,23,0.161,0.168,0.1645,-2203947540.642371
param_3,24,0.168,0.175,0.17149999999999999,-2896334522.348031
param_3,25,0.175,0.182,0.1785,-2354831436.853411
param_3,26,0.182,0.189,0.1855,-2252208880.331825
param_3,27,0.189,0.196,0.1925,-1226286009.691128
param_3,28,0.196,0.203,0.1995,-571961259.49645
param_3,29,0.203,0.21,0.20650000000000002,-1946586176.513647
param_3,30,0.21,0.217,0.2135,-1620853502.733681
param_3,31,0.217,0.224,0.2205,-2974658862.246425
param_3,32,0.224,0.231,0.2275,-2942574647.04467
param_3,33,0.231,0.238,0.2345,-2663848921.265762
param_3,34,0.238,0.245,0.2415,-2456762472.907492
param_3,35,0.245,0.252,0.2485,-2348781601.181072
param_3,36,0.252,0.259,0.2555,-2861224232.926586
param_3,37,0.259,0.266,0.2625,-2506376527.771336
param_3,38,0.266,0.273,0.2695,-1709903353.580384
param_3,39,0.273,0.28,0.2765,-2626090321.013762
param_3,40,0.28,0.287,0.2835,-1671975946.328817
param_3,41,0.287,0.294,0.2905,-2061621783.656963
param_3,42,0.294,0.301,0.2975,-3586237620.543314
param_3,43,0.301,0.308,0.3045,-4901642087.233624
param_3,44,0.308,0.3149999999999999,0.31149999999999994,-2634044782.817138
param_3,45,0.3149999999999999,0.322,0.31849999999999995,-1653969236.315657
param_3,46,0.322,0.329,0.3255,-2793352933.613165
param_3,47,0.329,0.336,0.3325,-797092909.5703279
param_3,48,0.336,0.343,0.3395,-1152818085.159419
param_3,49,0.343,0.35,0.34650000000000003,-1654520812.166347
param_3,50,0.35,0.357,0.3535,-756358080.0014396
param_3,51,0.357,0.364,0.3605,-1136722003.68929
param_3,52,0.364,0.3709999999999999,0.36749999999999994,-1101602229.100888
param_3,53,0.3709999999999999,0.3779999999999999,0.3744999999999999,-467893529.6575253
param_3,54,0.3779999999999999,0.385,0.38149999999999995,-1420861813.118456
param_3,55,0.385,0.392,0.3885,-947855625.601559
param_3,56,0.392,0.399,0.3955,-1177702066.868191
